Price,CarBrand,CarModel,MfgDate,Mileage,Condition,GearBox,Fuel,CarOrigin,CarType,CarSeats
305000000.0,Mazda,3,2013.0,862.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5.0
305000000.0,Mazda,3,2013.0,862.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5.0
110000000.0,Kia,Morning,2008.0,170000.0,Đã sử dụng,Số sàn,Xăng,Hàn Quốc,Hatchback,5.0
585000000.0,Vinfast,Lux A2.0,2021.0,17500.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5.0
589000000.0,Mazda,CX 3,2022.0,0.0,Mới,Tự động,Xăng,Thái Lan,SUV,5.0
555000000.0,Kia,K3,2022.0,0.0,Mới,Tự động,Xăng,Việt Nam,Sedan,5.0
800000000.0,Jaguar,XF,2015.0,144000.0,Đã sử dụng,Tự động,Xăng,Nước khác,Sedan,4.0
475000000.0,Mazda,CX 5,2015.0,90653.0,Đã sử dụng,Tự động,Xăng,Việt Nam,SUV,5.0
489000000.0,Toyota,Rush,2019.0,55000.0,Đã sử dụng,Tự động,Xăng,Nước khác,SUV,5.0
829000000.0,Mazda,CX 5,2023.0,0.0,Mới,Tự động,Xăng,Nhật Bản,SUV,5.0
380000000.0,Mitsubishi,Attrage,2023.0,0.0,Mới,Bán tự động,Xăng,Thái Lan,Sedan,5.0
265000000.0,Mercedes Benz,C Class,2010.0,100000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5.0
589000000.0,Toyota,Veloz Cross,2022.0,10.0,Đã sử dụng,Tự động,Xăng,Việt Nam,MPV,9.0
935000000.0,Ford,Explorer,2017.0,72000.0,Đã sử dụng,Tự động,Xăng,Mỹ,SUV,7.0
439000000.0,Honda,CR V,2013.0,123456.0,Đã sử dụng,Tự động,Xăng,Việt Nam,SUV,5.0
350000000.0,Mitsubishi,Attrage,2020.0,33000.0,Đã sử dụng,Tự động,Xăng,Thái Lan,Sedan,5.0
275000000.0,Vinfast,Fadil,2020.0,30.0,Đã sử dụng,Tự động,Xăng,Mỹ,Sedan,5.0
200000000.0,Kia,Cerato,2009.0,100.0,Đã sử dụng,Số sàn,Xăng,Nước khác,Sedan,5.0
435000000.0,Hyundai,Santa Fe,2009.0,120000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,SUV,7.0
850000000.0,Ford,Everest,2018.0,93000.0,Đã sử dụng,Tự động,Dầu,Thái Lan,SUV,7.0
379000000.0,Honda,City,2018.0,69000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5.0
175000000.0,Hyundai,Grand i10,2014.0,8888.0,Đã sử dụng,Số sàn,Xăng,Ấn Độ,Hatchback,5.0
1479000000.0,Mercedes Benz,GLC,2020.0,57000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,SUV,5.0
575000000.0,Toyota,Fortuner,2015.0,16000.0,Đã sử dụng,Số sàn,Dầu,Việt Nam,SUV,7.0
505000000.0,Hyundai,Elantra,2020.0,32000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5.0
415000000.0,Toyota,Innova,2016.0,100000.0,Đã sử dụng,Số sàn,Xăng,Việt Nam,MPV,8.0
999000000.0,Mercedes Benz,C Class,2018.0,40000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5.0
456000000.0,Toyota,Fortuner,2014.0,93000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,SUV,7.0
668000000.0,Toyota,Veloz Cross,2022.0,18989.0,Đã sử dụng,Tự động,Xăng,Việt Nam,MPV,7.0
749000000.0,Mazda,CX 5,2023.0,0.0,Mới,Tự động,Xăng,Việt Nam,SUV,5.0
880000000.0,Mitsubishi,Pajero Sport,2021.0,10.0,Đã sử dụng,Tự động,Dầu,Việt Nam,SUV,5.0
456000000.0,Hyundai,Accent,2023.0,0.0,Mới,Tự động,Xăng,Việt Nam,Sedan,5.0
1124000000.0,Kia,Sorento,2022.0,0.0,Mới,Tự động,Dầu,Việt Nam,SUV,7.0
590000000.0,Hyundai,Kona,2021.0,22000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,SUV,5.0
987000000.0,Mitsubishi,Pajero Sport,2023.0,0.0,Mới,Tự động,Dầu,Thái Lan,SUV,7.0
938000000.0,Ford,Ranger,2019.0,59000.0,Đã sử dụng,Tự động,Dầu,Thái Lan,Pick up,5.0
228000000.0,Toyota,Innova,2007.0,138000.0,Đã sử dụng,Số sàn,Xăng,Việt Nam,MPV,8.0
790000000.0,Mercedes Benz,A Class,2013.0,40000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Hatchback,5.0
1000000000.0,Ford,Tourneo,2021.0,98000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Van,6.0
293000000.0,Vinfast,Fadil,2020.0,15600.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Hatchback,5.0
615000000.0,Vinfast,Lux A2.0,2022.0,21000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5.0
360000000.0,Mercedes Benz,ML Class,2005.0,138960.0,Đã sử dụng,Tự động,Xăng,Đức,SUV,5.0
1400000000.0,Mercedes Benz,C Class,2023.0,7000.0,Đã sử dụng,Tự động,Xăng,Đức,Sedan,5.0
799000000.0,Ford,Everest,2019.0,10.0,Đã sử dụng,Tự động,Dầu,Việt Nam,SUV,7.0
1333900000.0,BMW,5 Series,2018.0,20000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,4.0
