Price,CarBrand,CarModel,MfgDate,Mileage,Condition,GearBox,Fuel,CarOrigin,CarType,CarSeats
440000000.0,Mitsubishi,Outlander Sport,2014.0,6700.0,Đã sử dụng,Tự động,Xăng,Nhật Bản,SUV,5.0
420000000.0,Hyundai,Accent,2020.0,35000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5.0
435000000.0,Mazda,BT 50,2021.0,56000.0,Đã sử dụng,Số sàn,Dầu,Thái Lan,SUV,5.0
1230000000.0,Kia,Carnival,2021.0,33000.0,Đã sử dụng,Tự động,Dầu,Việt Nam,SUV,7.0
725000000.0,Kia,Carens,2022.0,0.0,Mới,Tự động,Xăng,Việt Nam,SUV,7.0
358000000.0,Ford,EcoSport,2016.0,46000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,SUV,5.0
575000000.0,Ford,Ranger,2018.0,76500.0,Đã sử dụng,Tự động,Dầu,Thái Lan,Pick up,5.0
538000000.0,Suzuki,Ertiga,2023.0,0.0,Mới,Số sàn,Hybrid,Nước khác,MPV,7.0
666000000.0,Mercedes Benz,C Class,2015.0,68.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5.0
383000000.0,Ford,Escape,2011.0,110000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,SUV,5.0
180000000.0,Suzuki,Dòng khác,2021.0,20000.0,Đã sử dụng,Số sàn,Xăng,Việt Nam,Pick up,2.0
289000000.0,Hyundai,Avante,2013.0,86000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5.0
830000000.0,Toyota,Corolla Cross,2023.0,2500.0,Đã sử dụng,Tự động,Xăng,Nước khác,SUV,5.0
979000000.0,Ford,Ranger,2023.0,0.0,Mới,Tự động,Dầu,Mỹ,Pick up,5.0
110000000.0,Kia,K3,2022.0,0.0,Mới,Tự động,Xăng,Việt Nam,Sedan,4.0
594000000.0,Kia,Seltos,2023.0,0.0,Mới,Tự động,Xăng,Việt Nam,SUV,5.0
380000000.0,Ford,Focus,2017.0,48000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Hatchback,5.0
215000000.0,Ford,Everest,2007.0,1600.0,Đã sử dụng,Số sàn,Dầu,Mỹ,SUV,7.0
485000000.0,Mazda,BT 50,2019.0,68000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Pick up,5.0
1068000000.0,Toyota,Fortuner,2023.0,0.0,Mới,Tự động,Dầu,Việt Nam,SUV,7.0
285000000.0,Mercedes Benz,C Class,2009.0,11000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5.0
800000000.0,Lexus,LS,2008.0,80000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,4.0
820000000.0,Honda,CR V,2021.0,44000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,SUV,7.0
1520000000.0,Audi,Q7,2016.0,78000.0,Đã sử dụng,Tự động,Xăng,Đức,SUV,7.0
468000000.0,Kia,Cerato,2018.0,57000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5.0
329000000.0,Hyundai,Grand i10,2020.0,30000.0,Đã sử dụng,Tự động,Xăng,Ấn Độ,Sedan,5.0
399000000.0,MG,Dòng khác,2023.0,0.0,Mới,Tự động,Xăng,Thái Lan,Sedan,5.0
265268286.0,Hyundai,Grand i10,2014.0,68686.0,Đã sử dụng,Tự động,Xăng,Ấn Độ,Hatchback,5.0
1145000000.0,Mercedes Benz,C Class,2021.0,78000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5.0
1130000000.0,Ford,Everest,2022.0,15000.0,Đã sử dụng,Tự động,Xăng,Thái Lan,SUV,7.0
399000000.0,MG,5,2023.0,0.0,Mới,Số sàn,Xăng,Trung Quốc,Sedan,5.0
290000000.0,Kia,K3,2014.0,96000.0,Đã sử dụng,Số sàn,Xăng,Hàn Quốc,Sedan,5.0
598000000.0,Hyundai,Elantra,2020.0,53000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5.0
180000000.0,Kia,Carens,2011.0,100000.0,Đã sử dụng,Số sàn,Xăng,Việt Nam,MPV,7.0
585000000.0,Vinfast,Lux A2.0,2021.0,17500.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5.0
507000000.0,Suzuki,XL 7,2021.0,29000.0,Đã sử dụng,Tự động,Xăng,Ấn Độ,SUV,7.0
790000000.0,Peugeot,5008,2018.0,37000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,SUV,7.0
